id;key;question
1;DIFF1A_W29;Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?
2;DIFF1B_W29;Do you think men and women are basically similar or basically different when it comes to their physical abilities?
3;DIFF1C_W29;Do you think men and women are basically similar or basically different when it comes to their approach to parenting?
4;DIFF1D_W29;Do you think men and women are basically similar or basically different when it comes to how they express their feelings?
5;DIFF1E_W29;Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?
6;MASC1F1_W29;Thinking about how society sees men these days, in general, would you say most people look up to or look down on men who are manly or masculine?
7;MASC2AF1_W29;Do you think it's a good thing or a bad thing that most people in society look up to men who are manly or masculine?
8;MASC2BF1_W29;Do you think it's a good thing or a bad thing that most people in society look down on men who are manly or masculine?
9;FEM1F2_W29;Thinking about how society sees women these days, in general, would you say most people look up to or look down on women who are womanly or feminine?
10;FEM2AF2_W29;Do you think it's a good thing or a bad thing that most people in society look up to women who are womanly or feminine?
11;FEM2BF2_W29;Do you think it's a good thing or a bad thing that most people in society look down on women who are womanly or feminine?
12;MAN1A_W29;In general, how much pressure, if any, do you think men face these days to be interested in sports?
13;MAN1B_W29;In general, how much pressure, if any, do you think men face these days to have many sexual partners?
14;MAN1C_W29;In general, how much pressure, if any, do you think men face these days to join in when other men are talking about women in a sexual way?
15;MAN1D_W29;In general, how much pressure, if any, do you think men face these days to be willing to throw a punch if provoked?
16;MAN1E_W29;In general, how much pressure, if any, do you think men face these days to be emotionally strong?
17;BOYSF1A_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?
18;BOYSF1B_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?
19;BOYSF1C_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?
20;BOYSF1D_W29;When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?
21;GIRLSF2A_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?
22;GIRLSF2B_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?
23;GIRLSF2C_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?
24;GIRLSF2D_W29;When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?
25;HARASS1A_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
26;HARASS1B_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are?
27;HARASS1C_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
28;HARASS1D_W32;When it comes to sexual harassment in the workplace today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
29;HARASS2F1_W32;In the long run, do you think the increased focus on sexual harassment and assault will lead to more or fewer opportunities for women in the workplace?
30;HARASS3F2_W32;Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women in the workplace, or hasn't it made much difference?
31;WOMENOPPS_W32;Do you think there are still significant obstacles that make it harder for women than men to get ahead?
32;STYLE1_W36;Think about the leadership styles of people in top positions in business and politics. In general, when it comes to their approach to leadership, do you think that men and women are basically similar or basically different?
33;STYLE2_W36;Thinking about the ways in which men and women in top positions in business and politics are different in their approach to leadership, would you say men or women generally have a better approach?
34;AMNTWMNPF1_W36;Thinking about politics today, would you say there are too many or too few women in high political offices, or is the number about right?
35;AMNTWMNP2F1_W36;What do you think would be the ideal situation when it comes to the number of women in high political office?
36;AMNTWMNBF1_W36;Thinking about business today, would you say there are too many or too few women in top executive business positions, or is the number about right?
37;AMNTWMNB2F1_W36;What do you think would be the ideal situation when it comes to the number of women in top executive business positions?
38;EASIERBIZF2_W36;Thinking about top executive positions in business these days, would you say it is generally easier for men or women to get these positions?
39;EASIERPOLF2_W36;Thinking about high political offices these days, would you say it is generally easier for men or women to get elected to high political offices?
40;EQUALPOLF2_W36;Do you think men will continue to hold more high political offices than women in the future, even as more women run for office?
41;EQUALBIZF2_W36;Do you think men will continue to hold more top executive positions in business than women in the future, even as more women women move into management roles?
42;IMPROVE1_W36;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?
43;IMPROVE2_W36;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?
44;IMPROVE3_W36;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for everyone?
45;WHYNOTPOLF1A_W36;Do you think that many people not being ready to elect a woman to higher office is a reason why there are fewer women than men in high political offices?
46;WHYNOTPOLF1B_W36;Do you think that women facing gender discrimination is a reason why there are fewer women than men in high political offices?
47;WHYNOTPOLF1C_W36;Do you think that family responsibilities making it harder for women to run for higher office is a reason why there are fewer women than men in high political offices?
48;WHYNOTPOLF1D_W36;Do you think that women not being tough enough for politics is a reason why there are fewer women than men in high political offices?
49;WHYNOTPOLF1E_W36;Do you think that fewer women having the experience required for higher office is a reason why there are fewer women than men in high political offices?
50;WHYNOTPOLF1F_W36;Do you think that women getting less support from party leaders is a reason why there are fewer women than men in high political offices?
51;WHYNOTPOLF1G_W36;Do you think that women being held to higher standards than men when running for office is a reason why there are fewer women than men in high political offices?
52;WHYNOTPOLF1H_W36;Do you think that women having to prove themselves more than men when running for office is a reason why there are fewer women than men in high political offices?
53;WHYNOTPOLF1I_W36;Do you think that fewer women being interested in holding higher office is a reason why there are fewer women than men in high political offices?
54;WHYNOTPOLF1J_W36;Do you think that women not being encouraged to pursue leadership positions from an early age is a reason why there are fewer women than men in high political offices?
55;WHYNOTPOLF1K_W36;Do you think that women not doing as good of a job selling their accomplishments is a reason why there are fewer women than men in high political offices?
56;WHYNOTPOLF1L_W36;Do you think that sexual harassment creating an environment that makes it harder for women to succeed in politics is a reason why there are fewer women than men in high political offices?
57;WHYNOTBIZF2A_W36;Do you think that many businesses not being ready to hire women for top executive positions is a reason why there aren't more women in top executive business positions?
58;WHYNOTBIZF2B_W36;Do you think that women in business facing gender discrimination is a reason why there aren't more women in top executive business positions?
59;WHYNOTBIZF2C_W36;Do you think that family responsibilities making it harder for women to move up in business is a reason why there aren't more women in top executive business positions?
60;WHYNOTBIZF2D_W36;Do you think that women not being tough enough for business is a reason why there aren't more women in top executive business positions?
61;WHYNOTBIZF2F_W36;Do you think that women not making as good managers as men is a reason why there aren't more women in top executive business positions?
62;WHYNOTBIZF2G_W36;Do you think that women being held to higher standards than men is a reason why there aren't more women in top executive business positions?
63;WHYNOTBIZF2H_W36;Do you think that women having to do more to prove themselves than men is a reason why there aren't more women in top executive business positions?
64;WHYNOTBIZF2I_W36;Do you think that not as many women being interested in top executive business positions is a reason why there aren't more women in top executive business positions?
65;WHYNOTBIZF2J_W36;Do you think that women not being encouraged to pursue leadership positions from an early age is a reason why there aren't more women in top executive business positions?
66;WHYNOTBIZF2K_W36;Do you think that women not doing as good of a job selling their accomplishments is a reason why there aren't more women in top executive business positions?
67;WHYNOTBIZF2L_W36;Do you think that women not having access to the same kinds of personal networks and connections as men is a reason why there aren't more women in top executive business positions?
68;WHYNOTBIZF2M_W36;Do you think that women having fewer opportunities to interact with people in senior positions outside of work is a reason why there aren't more women in top executive business positions?
69;WHYNOTBIZF2N_W36;Do you think that women being less likely than men to ask for promotions and raises is a reason why there aren't more women in top executive business positions?
70;WHYNOTBIZF2O_W36;Do you think that sexual harassment creating an environment that makes it harder for women to succeed in business is a reason why there aren't more women in top executive business positions?
71;BETTERPOL1F1A_W36;In general, do you think men or women in high political offices are better at being honest and ethical?
72;BETTERPOL1F1B_W36;In general, do you think men or women in high political offices are better at being compassionate and empathetic?
73;BETTERPOL1F1C_W36;In general, do you think men or women in high political offices are better at working out compromises?
74;BETTERPOL1F1D_W36;In general, do you think men or women in high political offices are better at working well under pressure?
75;BETTERPOL1F1E_W36;In general, do you think men or women in high political offices are better at being willing to take risks?
76;BETTERPOL1F1F_W36;In general, do you think men or women in high political offices are better at standing up for what they believe in, despite political pressure?
77;BETTERPOL1F1G_W36;In general, do you think men or women in high political offices are better at being persuasive?
78;BETTERPOL1F1H_W36;In general, do you think men or women in high political offices are better at maintaining a tone of civility and respect in politics?
79;BETTERPOL1F1I_W36;In general, do you think men or women in high political offices are better at serving as a role model for children?
80;BETTERPOL2F1A_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?
81;BETTERPOL2F1B_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with social issues such as education and health care?
82;BETTERPOL2F1C_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?
83;BETTERPOL2F1D_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?
84;BETTERPOL2F1E_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with the federal budget deficit?
85;BETTERPOL2F1F_W36;Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?
86;BETTERBIZ1F2A_W36;In general, do you think men or women in top executive business positions are better at being honest and ethical?
87;BETTERBIZ1F2B_W36;In general, do you think men or women in top executive business positions are better at being compassionate and empathetic?
88;BETTERBIZ1F2C_W36;In general, do you think men or women in top executive business positions are better at working out compromises?
89;BETTERBIZ1F2D_W36;In general, do you think men or women in top executive business positions are better at working well under pressure?
90;BETTERBIZ1F2E_W36;In general, do you think men or women in top executive business positions are better at being willing to take risks?
91;BETTERBIZ1F2F_W36;In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?
92;BETTERBIZ1F2G_W36;In general, do you think men or women in top executive business positions are better at providing fair pay and good benefits?
93;BETTERBIZ1F2H_W36;In general, do you think men or women in top executive business positions are better at negotiating profitable deals?
94;BETTERBIZ1F2I_W36;In general, do you think men or women in top executive business positions are better at considering the impact of business decisions on society?
95;BETTERBIZ1F2J_W36;In general, do you think men or women in top executive business positions are better at providing guidance or mentorship to young employees?
96;BETTERBIZ1F2K_W36;In general, do you think men or women in top executive business positions are better at creating a safe and respectful workplace?
97;BETTERBIZ1F2L_W36;In general, do you think men or women in top executive business positions are better at standing up for what they believe in, despite pressure to make a profit?
98;BETTERBIZ2F2A_W36;In general, do you think men or women would do a better job running a major technology company?
99;BETTERBIZ2F2B_W36;In general, do you think men or women would do a better job running a major retail chain?
100;BETTERBIZ2F2C_W36;In general, do you think men or women would do a better job running a large bank or financial institution?
101;BETTERBIZ2F2D_W36;In general, do you think men or women would do a better job running a large oil or gas company?
102;BETTERBIZ2F2E_W36;In general, do you think men or women would do a better job running a major hospital?
103;BETTERBIZ2F2F_W36;In general, do you think men or women would do a better job running a professional sports team?
104;TRAITPOLWF1A_W36;In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?
105;TRAITPOLWF1B_W36;In general, how do you think being compassionate impacts a woman's chances of getting elected to high political office?
106;TRAITPOLWF1C_W36;In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?
107;TRAITPOLWF1D_W36;In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?
108;TRAITPOLWF1E_W36;In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?
109;TRAITPOLWF1F_W36;In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?
110;TRAITPOLWF1G_W36;In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?
111;TRAITPOLMF1A_W36;In general, how do you think being decisive impacts a man's chances of getting elected to high political office?
112;TRAITPOLMF1B_W36;In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?
113;TRAITPOLMF1C_W36;In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?
114;TRAITPOLMF1D_W36;In general, how do you think being approachable impacts a man's chances of getting elected to high political office?
115;TRAITPOLMF1E_W36;In general, how do you think being assertive impacts a man's chances of getting elected to high political office?
116;TRAITPOLMF1F_W36;In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?
117;TRAITPOLMF1G_W36;In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?
118;POLCHF1_W36;In general, when do you think it is best for a woman who wants to reach high political office to have children, if at all?
119;TRAITBIZWF2A_W36;In general, how do you think being decisive impacts a woman's chances of getting a top executive business position?
120;TRAITBIZWF2B_W36;In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?
121;TRAITBIZWF2C_W36;In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?
122;TRAITBIZWF2D_W36;In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?
123;TRAITBIZWF2E_W36;In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?
124;TRAITBIZWF2F_W36;In general, how do you think showing emotions impacts a woman's chances of getting a top executive business position?
125;TRAITBIZWF2G_W36;In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?
126;TRAITBIZMF2A_W36;In general, how do you think being decisive impacts a man's chances of getting a top executive business position?
127;TRAITBIZMF2B_W36;In general, how do you think being compassionate impacts a man's chances of getting a top executive business position?
128;TRAITBIZMF2C_W36;In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?
129;TRAITBIZMF2D_W36;In general, how do you think being approachable impacts a man's chances of getting a top executive business position?
130;TRAITBIZMF2E_W36;In general, how do you think being assertive impacts a man's chances of getting a top executive business position?
131;TRAITBIZMF2F_W36;In general, how do you think showing emotions impacts a man's chances of getting a top executive business position?
132;TRAITBIZMF2G_W36;In general, how do you think being physically attractive impacts a man's chances of getting a top executive business position?
133;EXECCHF2_W36;In general, when do you think it is best for a woman who wants to reach a top executive position in business to have children, if at all?
134;WMNPRZ1_W36;Do you think it would be a good thing or a bad thing for the nation if a woman was elected president?
135;MOREWMN1F2_W36;Nowadays, more women are running for positions of political leadership than in the past. Do you think this is a good thing or a bad thing?
136;MOREWMN2F2_W36;If there were more women in a national legislative body, do you think that body would do a better job or a worse job of dealing with societal problems?
137;MOREWMN3F2_W36;If there were more women in a national legislature, do you think there would be more or less openness and transparency in government?
138;MOREWMN4F2_W36;If there were more women in a national legislature, do you think the tone of political debate would be more or less respectful?
139;HARASS1NOWRKF2a_W41;When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?
140;HARASS1NOWRKF2c_W41;When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?
141;HARASS1NOWRKF2d_W41;When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?
142;HARASS3NOWRKF2_W41;Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women, or hasn't it made much difference?
143;ADMISSIONb_W43;Do you think gender should be a major factor, minor factor, or not a factor in college admissions?
144;RACESURV5i_W43;Overall, how does being a man affect people's ability to get ahead in society these days?
145;RACESURV5j_W43;Overall, how does being a woman affect people's ability to get ahead in society these days?
146;FAMSURV2Ma_W50;In general, how important, if at all, is being married in order for a man to live a fulfilling life?
147;FAMSURV2Mb_W50;In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?
148;FAMSURV2Mc_W50;In general, how important, if at all, is having children in order for a man to live a fulfilling life?
149;FAMSURV2Md_W50;In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?
150;FAMSURV2Me_W50;In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?
151;FAMSURV2Wa_W50;In general, how important, if at all, is being married in order for a woman to live a fulfilling life?
152;FAMSURV2Wb_W50;In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?
153;FAMSURV2Wc_W50;In general, how important, if at all, is having children in order for a woman to live a fulfilling life?
154;FAMSURV2Wd_W50;In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?
155;FAMSURV2We_W50;In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?
156;FAMSURV11W_W50;What do you think is the ideal situation for women with young children, working full-time, part-time, or not working for pay at all?
157;FAMSURV11M_W50;What do you think is the ideal situation for men with young children, working full-time, part-time, or not working for pay at all?
158;PAR2CHILDa_W92;If one parent is able to stay home to focus on the family, is it generally better if that parent is the mother or the father?