id,key,question,options,option_ordinal
78,BETTERPOL1F1H_W36,"In general, do you think men or women in high political offices are better at maintaining a tone of civility and respect in politics?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
79,BETTERPOL1F1I_W36,"In general, do you think men or women in high political offices are better at serving as a role model for children?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
80,BETTERPOL2F1A_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at handling economic conditions?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
81,BETTERPOL2F1B_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with social issues such as education and health care?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
82,BETTERPOL2F1C_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with immigration policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
83,BETTERPOL2F1D_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with national security and defense?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
84,BETTERPOL2F1E_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with the federal budget deficit?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
85,BETTERPOL2F1F_W36,"Thinking about some specific policy areas, in general, do you think men or women in high political offices are better at dealing with gun policy?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
86,BETTERBIZ1F2A_W36,"In general, do you think men or women in top executive business positions are better at being honest and ethical?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
87,BETTERBIZ1F2B_W36,"In general, do you think men or women in top executive business positions are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
88,BETTERBIZ1F2C_W36,"In general, do you think men or women in top executive business positions are better at working out compromises?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
89,BETTERBIZ1F2D_W36,"In general, do you think men or women in top executive business positions are better at working well under pressure?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
90,BETTERBIZ1F2E_W36,"In general, do you think men or women in top executive business positions are better at being willing to take risks?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
91,BETTERBIZ1F2F_W36,"In general, do you think men or women in top executive business positions are better at valuing people from different backgrounds?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
92,BETTERBIZ1F2G_W36,"In general, do you think men or women in top executive business positions are better at providing fair pay and good benefits?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
93,BETTERBIZ1F2H_W36,"In general, do you think men or women in top executive business positions are better at negotiating profitable deals?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
94,BETTERBIZ1F2I_W36,"In general, do you think men or women in top executive business positions are better at considering the impact of business decisions on society?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
95,BETTERBIZ1F2J_W36,"In general, do you think men or women in top executive business positions are better at providing guidance or mentorship to young employees?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
96,BETTERBIZ1F2K_W36,"In general, do you think men or women in top executive business positions are better at creating a safe and respectful workplace?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
97,BETTERBIZ1F2L_W36,"In general, do you think men or women in top executive business positions are better at standing up for what they believe in, despite pressure to make a profit?","['Men are better', 'Women are better', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
98,BETTERBIZ2F2A_W36,"In general, do you think men or women would do a better job running a major technology company?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
99,BETTERBIZ2F2B_W36,"In general, do you think men or women would do a better job running a major retail chain?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
100,BETTERBIZ2F2C_W36,"In general, do you think men or women would do a better job running a large bank or financial institution?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
101,BETTERBIZ2F2D_W36,"In general, do you think men or women would do a better job running a large oil or gas company?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
102,BETTERBIZ2F2E_W36,"In general, do you think men or women would do a better job running a major hospital?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
103,BETTERBIZ2F2F_W36,"In general, do you think men or women would do a better job running a professional sports team?","['Men would do a better job', 'Women would do a better job', 'No difference', 'Refused']","[1.0, 2.0, 1.5]"
104,TRAITPOLWF1A_W36,"In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
105,TRAITPOLWF1B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
106,TRAITPOLWF1C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
107,TRAITPOLWF1D_W36,"In general, how do you think being approachable impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
108,TRAITPOLWF1E_W36,"In general, how do you think being assertive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
109,TRAITPOLWF1F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
110,TRAITPOLWF1G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
111,TRAITPOLMF1A_W36,"In general, how do you think being decisive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
112,TRAITPOLMF1B_W36,"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
113,TRAITPOLMF1C_W36,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
114,TRAITPOLMF1D_W36,"In general, how do you think being approachable impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
115,TRAITPOLMF1E_W36,"In general, how do you think being assertive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
116,TRAITPOLMF1F_W36,"In general, how do you think showing emotions impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
117,TRAITPOLMF1G_W36,"In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
118,POLCHF1_W36,"In general, what do you think is better for a woman who wants to reach high political office?","['Having children before she enters politics', 'Waiting until she is well-established in her political career to have children', 'Not having children at all', 'Refused']","[1.0, 2.0, 3.0]"
119,TRAITBIZWF2A_W36,"In general, how do you think being decisive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
120,TRAITBIZWF2B_W36,"In general, how do you think being compassionate impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
121,TRAITBIZWF2C_W36,"In general, how do you think being ambitious impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
122,TRAITBIZWF2D_W36,"In general, how do you think being approachable impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
123,TRAITBIZWF2E_W36,"In general, how do you think being assertive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
124,TRAITBIZWF2F_W36,"In general, how do you think showing emotions impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
125,TRAITBIZWF2G_W36,"In general, how do you think being physically attractive impacts a woman's chances of getting a top executive business position?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
126,TRAITBIZMF2A_W36,"In general, how do you think being decisive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
127,TRAITBIZMF2B_W36,"In general, how do you think being compassionate impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
128,TRAITBIZMF2C_W36,"In general, how do you think being ambitious impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
129,TRAITBIZMF2D_W36,"In general, how do you think being approachable impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
130,TRAITBIZMF2E_W36,"In general, how do you think being assertive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
131,TRAITBIZMF2F_W36,"In general, how do you think showing emotions impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
132,TRAITBIZMF2G_W36,"In general, how do you think being physically attractive impacts a man's chances of getting a top executive business position?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
133,EXECCHF2_W36,"In general, what do you think is better for a woman who wants to reach a top executive position in business?","['Having children early on in her career', 'Waiting until she is well-established in her career to have children', 'Not having children at all', 'Refused']","[1.0, 2.0, 3.0]"
134,WMNPRZ1_W36,Do you think it would be a good thing or a bad thing for the nation if a woman was elected president?,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
135,MOREWMN1F2_W36,"Nowadays, more women are running for positions of political leadership than in the past. Do you think this is","['A good thing', 'A bad thing', 'Neither a good thing nor a bad thing', 'Refused']","[1.0, 2.0, 1.5]"
136,MOREWMN2F2_W36,"If there were more women in a national legislative body, do you think that body would","[""Do a better job of dealing with societal problems"", ""Do a worse job of dealing with societal problems"", ""The number of women in the legislature doesn't have much to with this"", 'Refused']","[1.0, 2.0, 1.5]"
137,MOREWMN3F2_W36,"If there were more women in a national legislature, do you think there would be","['more openness and transparency in government', 'less openness and transparency in government', ""The number of women in the legislature doesn't have much to with this"", 'Refused']","[1.0, 2.0, 1.5]"
138,MOREWMN4F2_W36,"If there were more women in a national legislature, do you think","['The tone of political debate would be more respectful', 'The tone of political debate would be less respectful', ""The number of women in the legislature doesn't have much to with this"", 'Refused']","[1.0, 2.0, 1.5]"
139,HARASS1NOWRKF2a_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
140,HARASS1NOWRKF2c_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
141,HARASS1NOWRKF2d_W41,"When it comes to sexual harassment and sexual assault today, how much of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
142,HARASS3NOWRKF2_W41,"Do you think the increased focus on sexual harassment and assault has made it easier or harder for men to know how to interact with women, or hasn't it made much difference?","['Has made it easier for men', 'Has made it harder for men', ""Hasn't made much difference"", 'Refused']","[1.0, 2.0, 1.5]"
143,ADMISSIONb_W43,"Do you think gender should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
144,RACESURV5i_W43,"Overall, how does being a man affect people's ability to get ahead in society these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
145,RACESURV5j_W43,"Overall, how does being a woman affect people's ability to get ahead in society these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
146,FAMSURV2Ma_W50,"In general, how important, if at all, is being married in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
147,FAMSURV2Mb_W50,"In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
148,FAMSURV2Mc_W50,"In general, how important, if at all, is having children in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
149,FAMSURV2Md_W50,"In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
150,FAMSURV2Me_W50,"In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
151,FAMSURV2Wa_W50,"In general, how important, if at all, is being married in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
152,FAMSURV2Wb_W50,"In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
153,FAMSURV2Wc_W50,"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
154,FAMSURV2Wd_W50,"In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
155,FAMSURV2We_W50,"In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
156,FAMSURV11W_W50,What do you think is the ideal situation for women with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']","[1.0, 2.0, 3.0]"
157,FAMSURV11M_W50,What do you think is the ideal situation for men with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']","[1.0, 2.0, 3.0]"
158,PAR2CHILDa_W92,"If one parent is able to stay home to focus on the family, is it generally better if that parent is the","['Mother', 'Father', ""It doesn't matter which parent stays home"", 'Refused']","[1.0, 2.0, 1.5]"
